OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family	Genus
Otu02617	26	0.404694455685957	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	4	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	18	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	25	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	1	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	19	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	20	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	23	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	13	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	22	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	21	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu00379	13	178.77094972067	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	16	33.2428765264586	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	10	11.8694362017804	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	18	7.65916706558162	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	1	6.57501494321578	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	4	1.22774708410068	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	19	1.21359223300971	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	8	0.477099236641221	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	27	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	28	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	23	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	17	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	24	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	21	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	22	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	25	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
Otu00379	26	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32	9M32_unclassified
