OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu00512	PNC3	7.60407358494004	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00512	VC3	4.11125965732386	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00512	PNC2	3.40402670314222	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00713	VC2	74.7039983076781	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	PNC1	64.5112642570773	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	VC3	63.9141090005688	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	VC1	37.0372204435791	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	PNC2	35.2710087111058	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	PNC3	34.652870615818	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu01595	PNC1	7.17947342545371	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	PNC2	1.3661994187025	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	VC2	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	PNC3	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	VC3	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	VC1	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu02729	VC2	4.06625137730647	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	VC1	2.06312227668945	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	VC3	1.02656552562129	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	PNC1	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	PNC2	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	PNC3	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu01566	PNC1	19.2372328829742	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	VC1	18.6432240549096	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	VC3	15.8427190048383	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	PNC3	9.89898374829507	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	PNC2	9.12200289503347	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	VC2	5.20235418727145	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu00018	VC3	1404.53474589401	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	VC1	644.804335510029	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	VC2	407.669291190675	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	PNC3	391.624480795284	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	PNC1	315.046353684004	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	PNC2	237.806146560348	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu01094	VC2	30.063808540175	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	VC1	20.7834464621298	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	PNC1	11.6519141899445	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
