OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family
Otu00795	VC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	BD7-8_marine_group_unclassified
Otu00892	VC2	21.0848642965078	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7	BG.g7_unclassified
Otu00892	VC3	8.26321516689731	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7	BG.g7_unclassified
Otu00892	PNC1	3.13620860166956	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7	BG.g7_unclassified
Otu00892	VC1	0.875584990775511	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7	BG.g7_unclassified
Otu00892	PNC3	0.505818033200957	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7	BG.g7_unclassified
Otu00892	PNC2	0	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7	BG.g7_unclassified
Otu00760	VC2	30.639107413863	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41
Otu00760	PNC1	28.3583325117091	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41
Otu00760	VC3	21.6717873109824	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41
Otu00760	PNC3	18.3964222488677	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41
Otu00760	VC1	16.0695532264066	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41
Otu00760	PNC2	13.3902000199686	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41
Otu01174	PNC3	10.650252005519	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified	BJGMM-U27_unclassified
Otu01174	PNC1	0.521648408972353	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified	BJGMM-U27_unclassified
Otu01174	PNC2	0.172354360565322	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified	BJGMM-U27_unclassified
