OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu02729	PNC1	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	PNC2	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	PNC3	0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu01566	PNC1	0.170158057558618	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	VC1	0.11271708515483	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	VC3	0.0902289745865971	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	PNC3	0.0864650225382218	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	PNC2	0.0574696768431045	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu01566	VC2	0.0255033602011568	Bacteria	Planctomycetes	Phycisphaerae	CCM11a
Otu00018	VC3	7.99924115643031	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	VC1	3.89849228759057	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	PNC3	3.42073695840906	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	PNC1	2.78666250546048	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	VC2	1.99850613816802	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu00018	PNC2	1.49820632062812	Bacteria	Chloroflexi	Caldilineae	Caldilineales
Otu01094	VC2	0.147380995337581	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	VC1	0.125656887337886	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	PNC1	0.103064047592593	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	VC3	0.0459619231465088	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	PNC3	0.00896212940576138	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01094	PNC2	0.00503123786101011	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
Otu01316	PNC1	0.0660747918648653	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	VC1	0.0533005007635415	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	PNC3	0.0453537759557727	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	PNC2	0.0429269540454733	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	VC2	0.00706454945099168	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu01316	VC3	0.000984153451845515	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales
Otu00135	PNC1	1.65411581830013	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	PNC3	1.43213983302315	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	PNC2	0.650066639209362	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	VC1	0.465291662071399	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	VC3	0.38615159276887	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu00135	VC2	0.17805832782199	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales
Otu01531	PNC2	0.155606837506918	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	PNC1	0.0836418044180738	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	PNC3	0.0802722156309058	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	VC3	0.0576140951968866	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
Otu01531	VC1	0.0413539380736186	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales
